Fecha;Producto;Cantidad;Precio Unitario;Vendedor;Residencia;Ruta;Edad;Años_Experiencia;Horas_en_venta
1/1/2018;Producto 0002;210;2468;Vendedor 003;Heredia;Heredia;57;37;0,7
1/1/2018;Producto 0002;143;2468;Vendedor 003;Alajuela;Guanacaste;53;28;4,95
1/1/2018;Producto 0009;63;2885;Vendedor 001;Alajuela;Cartago;44;14;0,266666667
1/1/2018;Producto 0019;106;3504;Vendedor 004;Puntarenas;Puntarenas;59;28;3,966666667
1/1/2018;Producto 0019;206;3504;Vendedor 003;Limón;San José;56;19;6,05
1/1/2018;Producto 0017;199;1335;Vendedor 002;Puntarenas;San José;28;8;5,216666667
1/1/2018;Producto 0013;180;3066;Vendedor 002;Cartago;Guanacaste;31;12;1,716666667
1/1/2018;Producto 0004;60;1309;Vendedor 003;Heredia;Guanacaste;44;16;6,433333333
1/1/2018;Producto 0013;170;3066;Vendedor 005;Guanacaste;Alajuela;63;38;1,2
1/1/2018;Producto 0008;185;1031;Vendedor 001;San José;San José;65;24;1,433333333
1/1/2018;;88;4594;Vendedor 001;San José;Heredia;63;34;
1/1/2018;;104;1031;Vendedor 005;Puntarenas;Puntarenas;54;28;
1/1/2018;;118;1631;Vendedor 005;Guanacaste;San José;44;14;
1/1/2018;;138;4311;Vendedor 002;Alajuela;Cartago;43;19;
1/1/2018;Producto 0008;155;1031;Vendedor 002;San José;Puntarenas;64;33;
1/1/2018;Producto 0005;222;1043;Vendedor 005;Alajuela;Limón;39;1;
1/1/2018;Producto 0016;42;1631;Vendedor 001;Heredia;Limón;75;37;
1/1/2018;Producto 0015;148;2783;Vendedor 003;San José;Limón;47;7;5,633333333
1/1/2018;Producto 0017;125;1335;Vendedor 001;Heredia;Guanacaste;31;8;1,266666667
1/1/2018;Producto 0009;138;2885;Vendedor 003;Cartago;San José;56;32;1,683333333
1/1/2018;Producto 0012;5;4594;Vendedor 003;Puntarenas;Cartago;36;3;0,283333333
1/1/2018;Producto 0005;122;1043;Vendedor 004;San José;Heredia;50;22;1,766666667
1/1/2018;Producto 0014;70;3653;Vendedor 001;San José;Puntarenas;64;27;0,3
1/1/2018;Producto 0006;222;1514;Vendedor 003;San José;San José;37;7;5,583333333
1/1/2018;Producto 0010;209;1088;Vendedor 003;Limón;San José;42;16;4,816666667
1/1/2018;Producto 0018;102;3109;Vendedor 004;Guanacaste;Puntarenas;62;35;1,433333333
1/1/2018;Producto 0017;215;1335;Vendedor 003;Heredia;Limón;73;36;0,25
1/1/2018;Producto 0007;150;4311;Vendedor 003;Guanacaste;Heredia;35;16;3,683333333
1/1/2018;Producto 0015;61;2783;Vendedor 004;Limón;Guanacaste;65;28;1,6
1/1/2018;Producto 0003;121;1688;Vendedor 002;Limón;Alajuela;49;24;3,016666667
1/1/2018;Producto 0014;181;3653;Vendedor 002;Puntarenas;Alajuela;49;26;5,733333333
1/1/2018;Producto 0016;206;1631;Vendedor 001;Puntarenas;Puntarenas;36;18;2,05
1/1/2018;Producto 0008;93;1031;Vendedor 003;Puntarenas;Limón;71;37;3,783333333
1/1/2018;Producto 0013;168;3066;Vendedor 003;Cartago;Puntarenas;75;37;5,95
1/1/2018;Producto 0018;130;3109;Vendedor 002;Limón;Puntarenas;57;36;6,7
1/1/2018;Producto 0002;66;2468;Vendedor 002;Alajuela;Limón;40;13;1,85
1/1/2018;Producto 0018;235;3109;Vendedor 001;Guanacaste;Heredia;47;17;2,033333333
1/1/2018;Producto 0012;146;4594;Vendedor 004;Limón;Puntarenas;58;28;0,633333333
