Tipo_Empleo;Desglose;Rubro;III 2010;IV 2010;I 2011;II 2011;III 2011;IV 2011;I 2012;II 2012;III 2012;IV 2012;I 2013;II 2013;III 2013;IV 2013;I 2014;II 2014;III 2014;IV 2014;I 2015;II 2015;III 2015;IV 2015;I 2016;II 2016;III 2016;IV 2016;I 2017;II 2017;III 2017;IV 2017;I 2018;II 2018;III 2018;IV 2018;I 2019;II 2019;III 2019;IV 2019;I 2020
Asalariado;Total;Total;1424231;1453089;1386155;1363767;1435130;1513931;1560251;1531586;1528613;1525696;1488858;1493357;1493970;1561262;1570324;1554223;1567739;1550427;1543159;1564975;1573893;1546410;1541014;1505422;1503852;1561445;1569991;1556644;1560928;1522634;1519085;1600611;1604654;1615885;1623232;1569986;1569986;1596100;1616054
Asalariado;Estabilidad en el empleo;Empleo permanente;1281823;1276150;1279046;1245728;1325187;1363297;1361096;1347485;1385873;1367361;1347949;1367847;1362552;1414742;1407348;1439147;1453797;1419786;1384551;1454758;1447417;1396858;1372461;1373592;1379624;1411948;1405947;1429803;1465134;1410268;1404988;1509964;1515186;1500716;1496001;1469072;1469072;1489670;1502343
Asalariado;Estabilidad en el empleo;Empleo no permanente;74782;98257;57117;62807;52330;80530;102710;90939;75883;73054;63466;58489;52793;59178;62449;49626;51161;53010;87247;46603;44743;65523;90189;62235;56213;73262;82871;55470;44039;68271;70100;52447;46067;60899;71077;53324;53324;62347;65851
Asalariado;Estabilidad en el empleo;Actividad ocasional;67626;78682;49992;55232;57613;70104;96445;93162;66857;85281;77443;67021;78625;87342;100527;65450;62781;77631;71361;63614;81733;84029;78364;69595;68015;76235;81173;71371;51755;44095;43997;38200;43401;54270;56154;47590;47590;44083;47860
Asalariado;Condición de aseguramiento;No tiene seguro por trabajo;362300;363583;315315;305007;323661;346812;369535;385898;356373;383004;376353;368789;382223;398484;407072;359507;366568;392364;383077;362982;392642;357388;333416;331796;317737;357346;361246;353644;331566;296194;290342;366050;371818;370156;371746;340398;340398;363105;382427
Asalariado;Condición de aseguramiento;Tiene seguro por trabajo;1061931;1089506;1070840;1058760;1111469;1167119;1190716;1145688;1172240;1142692;1112505;1124568;1111747;1162778;1163252;1194716;1201171;1158063;1160082;1201993;1181251;1189022;1207598;1173626;1186115;1204099;1208745;1203000;1229362;1226440;1228743;1234561;1232836;1245729;1251486;1229588;1229588;1232995;1233627
Asalariado;Grupo de horas efectivas trabajadas;Menos de 15;88356;76081;52823;52533;51830;54390;70807;80697;86258;98038;95977;102531;116230;107578;104553;106176;118502;119105;96961;100066;117497;96630;86477;72005;69180;84515;80256;85280;86274;51972;56905;94456;90138;92671;106902;92588;92588;80673;94197
Asalariado;Grupo de horas efectivas trabajadas;De 15 a 39;218961;198445;183803;194265;185043;186115;201974;212671;208142;226535;235211;261132;252178;228275;220835;261193;252253;228599;236218;278868;229045;232184;254154;210091;218501;233854;215089;254774;265153;231898;212984;289935;276020;239100;259915;280827;280827;250701;264690
Asalariado;Grupo de horas efectivas trabajadas;De 40 a 48;623864;661408;714188;703124;758163;808470;863071;767840;801735;753359;723671;685744;693425;779786;773258;732751;745844;720901;735594;733546;727542;760623;789527;766931;795606;752560;817303;793145;790357;776907;805026;807549;839636;846827;862105;806012;806012;832996;857944
Asalariado;Grupo de horas efectivas trabajadas;Más de 48;488967;512358;432919;407170;439865;464956;423155;470378;432395;447656;433999;443892;432137;445549;471496;453389;451140;479469;473196;450721;498171;454472;409168;456207;419672;490355;456957;419418;417336;459709;443567;406526;398771;437287;394108;389438;389438;431608;398693
Asalariado;Grupo de horas efectivas trabajadas;No especificado;4083;4797;2422;6675;229;0;1244;0;83;108;0;58;0;74;182;714;0;2353;1190;1774;1638;2501;1688;188;893;161;386;4027;1808;2148;603;2145;89;0;202;1121;1121;122;530
Asalariado;Principales ramas de actividad;Comercio y reparación;266453;258327;253110;261965;259409;264492;274992;262657;268665;287162;274049;288682;290734;307194;288862;285631;281765;252882;246718;237686;267023;266912;278200;260726;262587;256706;267678;286699;252798;251130;270144;264844;259760;249716;247396;231016;231016;235728;246262
Asalariado;Principales ramas de actividad;Enseñanza y salud;165097;175717;174853;175805;169971;190631;187016;190118;212438;203118;203758;205697;207197;201409;197984;198988;194561;195460;184562;195263;185586;171345;170411;172331;193324;199334;204946;196168;208715;202343;188545;181174;183810;189105;183674;221038;221038;223332;212822
